id,anglais,francais,categorie,monde,semaine_intro,jour_intro,r1,r2,r3,r4,r5,maitrise
1,hello,bonjour,lexique,M1 · Hello !,S1,1,S1,S1,S2,S3,S6,S6
2,hi,salut,lexique,M1 · Hello !,S1,2,S1,S1,S2,S3,S6,S6
3,goodbye,au revoir,lexique,M1 · Hello !,S1,3,S1,S2,S2,S3,S6,S6
4,bye,salut (départ),lexique,M1 · Hello !,S1,4,S1,S2,S2,S4,S6,S6
5,yes,oui,lexique,M1 · Hello !,S1,1,S1,S1,S2,S3,S6,S6
6,no,non,lexique,M1 · Hello !,S1,2,S1,S1,S2,S3,S6,S6
7,I'm …,je suis …,structure,M1 · Hello !,S1,3,S1,S2,S2,S3,S6,S6
8,OK,d'accord,lexique,M1 · Hello !,S1,4,S1,S2,S2,S4,S6,S6
9,well done!,bravo !,lexique,M1 · Hello !,S1,1,S1,S1,S2,S3,S6,S6
10,great!,super !,lexique,M1 · Hello !,S1,2,S1,S1,S2,S3,S6,S6
11,good morning,bonjour (le matin),lexique,M1 · Hello !,S1,3,S1,S2,S2,S3,S6,S6
12,name,prénom,lexique,M1 · Hello !,S2,1,S2,S2,S3,S4,S7,S7
13,what,quoi / quel,fonction,M1 · Hello !,S2,2,S2,S2,S3,S4,S7,S7
14,my,mon / ma,fonction,M1 · Hello !,S2,3,S2,S3,S3,S4,S7,S7
15,your,ton / ta,fonction,M1 · Hello !,S2,4,S2,S3,S3,S5,S7,S7
16,What's your name?,comment tu t'appelles ?,structure,M1 · Hello !,S2,1,S2,S2,S3,S4,S7,S7
17,My name is …,je m'appelle …,structure,M1 · Hello !,S2,2,S2,S2,S3,S4,S7,S7
18,please,s'il te plaît,lexique,M1 · Hello !,S2,3,S2,S3,S3,S4,S7,S7
19,thank you,merci,lexique,M1 · Hello !,S2,4,S2,S3,S3,S5,S7,S7
20,sorry,pardon,lexique,M1 · Hello !,S2,1,S2,S2,S3,S4,S7,S7
21,friend,ami,lexique,M1 · Hello !,S2,2,S2,S2,S3,S4,S7,S7
22,welcome,bienvenue,lexique,M1 · Hello !,S2,3,S2,S3,S3,S4,S7,S7
23,one,un,lexique,M1 · Hello !,S3,1,S3,S3,S4,S5,S8,S8
24,two,deux,lexique,M1 · Hello !,S3,2,S3,S3,S4,S5,S8,S8
25,three,trois,lexique,M1 · Hello !,S3,3,S3,S4,S4,S5,S8,S8
26,four,quatre,lexique,M1 · Hello !,S3,4,S3,S4,S4,S6,S8,S8
27,five,cinq,lexique,M1 · Hello !,S3,1,S3,S3,S4,S5,S8,S8
28,how,comment,fonction,M1 · Hello !,S3,2,S3,S3,S4,S5,S8,S8
29,fine,bien,lexique,M1 · Hello !,S3,3,S3,S4,S4,S5,S8,S8
30,How are you?,comment ça va ?,structure,M1 · Hello !,S3,4,S3,S4,S4,S6,S8,S8
31,I'm fine,ça va bien,structure,M1 · Hello !,S3,1,S3,S3,S4,S5,S8,S8
32,zero,zéro,lexique,M1 · Hello !,S3,2,S3,S3,S4,S5,S8,S8
33,sat,(mot de lecture),décodable,M1 · Hello !,S3,3,S3,S4,S4,S5,S8,S8
34,pin,(mot de lecture),décodable,M1 · Hello !,S3,4,S3,S4,S4,S6,S8,S8
35,tin,(mot de lecture),décodable,M1 · Hello !,S3,1,S3,S3,S4,S5,S8,S8
36,tap,(mot de lecture),décodable,M1 · Hello !,S3,2,S3,S3,S4,S5,S8,S8
37,tip,(mot de lecture),décodable,M1 · Hello !,S3,3,S3,S4,S4,S5,S8,S8
38,at,(mot de lecture),décodable,M1 · Hello !,S3,4,S3,S4,S4,S6,S8,S8
39,nap,(mot de lecture),décodable,M1 · Hello !,S3,1,S3,S3,S4,S5,S8,S8
40,red,rouge,lexique,M2 · Colours & Numbers,S5,1,S5,S5,S6,S7,S10,S10
41,blue,bleu,lexique,M2 · Colours & Numbers,S5,2,S5,S5,S6,S7,S10,S10
42,green,vert,lexique,M2 · Colours & Numbers,S5,3,S5,S6,S6,S7,S10,S10
43,yellow,jaune,lexique,M2 · Colours & Numbers,S5,4,S5,S6,S6,S8,S10,S10
44,colour,couleur,lexique,M2 · Colours & Numbers,S5,1,S5,S5,S6,S7,S10,S10
45,it,il / ça (objet),fonction,M2 · Colours & Numbers,S5,2,S5,S5,S6,S7,S10,S10
46,It's red!,c'est rouge !,structure,M2 · Colours & Numbers,S5,3,S5,S6,S6,S7,S10,S10
47,look!,regarde !,lexique,M2 · Colours & Numbers,S5,4,S5,S6,S6,S8,S10,S10
48,again!,encore !,lexique,M2 · Colours & Numbers,S5,1,S5,S5,S6,S7,S10,S10
49,rainbow,arc-en-ciel,lexique,M2 · Colours & Numbers,S5,2,S5,S5,S6,S7,S10,S10
50,can (boîte),(mot de lecture),décodable,M2 · Colours & Numbers,S5,3,S5,S6,S6,S7,S10,S10
51,cap,(mot de lecture),décodable,M2 · Colours & Numbers,S5,4,S5,S6,S6,S8,S10,S10
52,kit,(mot de lecture),décodable,M2 · Colours & Numbers,S5,1,S5,S5,S6,S7,S10,S10
53,black,noir,lexique,M2 · Colours & Numbers,S6,1,S6,S6,S7,S8,S11,S11
54,white,blanc,lexique,M2 · Colours & Numbers,S6,2,S6,S6,S7,S8,S11,S11
55,orange,orange (couleur),lexique,M2 · Colours & Numbers,S6,3,S6,S7,S7,S8,S11,S11
56,pink,rose,lexique,M2 · Colours & Numbers,S6,4,S6,S7,S7,S9,S11,S11
57,purple,violet,lexique,M2 · Colours & Numbers,S6,1,S6,S6,S7,S8,S11,S11
